train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
0.0001,23367,2.3328967094421387,-275.99676513671875,22.03125762939453,-0.24906706809997559
0.0001,23492,2.3576714992523193,-278.2921142578125,29.988937377929688,-0.32108473777770996
0.0001,23617,2.3831214904785156,-280.57086181640625,46.860496520996094,-0.3523349165916443
0.0001,23742,2.4087986946105957,-278.6329650878906,39.560264587402344,-0.3107087016105652
0.0001,23867,2.4348342418670654,-282.59649658203125,18.82990264892578,-0.281619131565094
0.0001,23992,2.460846424102783,-280.06146240234375,20.24066162109375,-0.2773537039756775
0.0001,24117,2.4868578910827637,-280.780029296875,24.335283279418945,-0.2593685984611511
0.0001,24242,2.512772560119629,-278.9027099609375,34.66781997680664,-0.3199479579925537
0.0001,24367,2.5390093326568604,-283.89544677734375,24.960777282714844,-0.3183271884918213
0.0001,24492,2.565335988998413,-284.3470458984375,27.357370376586914,-0.26013419032096863
0.0001,24617,2.59211802482605,-280.76727294921875,25.427560806274414,-0.28926441073417664
0.0001,24742,2.618948459625244,-282.8875732421875,26.638900756835938,-0.2571456730365753
